player_name,Pos,Age,Tm,Salary,G,GS,MP,FG,FGA,FGp,x3P,x3PA,x3Pp,x2P,x2PA,x2Pp,eFGp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTSpm,FTpm,BLKpm,ASTpm,STLpm,TOVpm,x3Ppm,PPG,APG,RPG
Al Horford,C,32,BOS,28928710,68,68,1973,387,723,0.535,73,203,0.36,314,520,0.604,0.586,78,95,0.821,120,338,458,283,59,86,102,126,925,0.469,0.04,0.044,0.143,0.03,0.052,0.037,13.603,4.162,6.735
Alex Len,C,25,ATL,4350000,77,31,1544,320,648,0.494,74,204,0.363,246,444,0.554,0.551,140,216,0.648,158,266,424,86,27,69,97,200,854,0.553,0.091,0.045,0.056,0.017,0.063,0.048,11.091,1.117,5.506
Amir Johnson,C,31,PHI,2393887,51,6,529,79,157,0.503,12,40,0.3,67,117,0.573,0.541,31,41,0.756,47,100,147,60,16,13,45,99,201,0.38,0.059,0.025,0.113,0.03,0.085,0.023,3.941,1.176,2.882
Andre Drummond,C,25,DET,25434262,79,79,2647,561,1052,0.533,5,38,0.132,556,1014,0.548,0.536,243,412,0.59,423,809,1232,112,136,138,175,272,1370,0.518,0.092,0.052,0.042,0.051,0.066,0.002,17.342,1.418,15.595
Anthony Davis,C,25,NOP,25434263,56,56,1850,530,1026,0.517,48,145,0.331,482,881,0.547,0.54,344,433,0.794,174,498,672,218,88,135,112,132,1452,0.785,0.186,0.073,0.118,0.048,0.061,0.026,25.929,3.893,12
Aron Baynes,C,32,BOS,5193600,51,18,821,105,223,0.471,21,61,0.344,84,162,0.519,0.518,53,62,0.855,88,152,240,57,12,34,40,125,284,0.346,0.065,0.041,0.069,0.015,0.049,0.026,5.569,1.118,4.706
Bam Adebayo,C,21,MIA,2955840,82,28,1913,280,486,0.576,3,15,0.2,277,471,0.588,0.579,166,226,0.735,165,432,597,184,71,65,121,203,729,0.381,0.087,0.034,0.096,0.037,0.063,0.002,8.89,2.244,7.28
Bismack Biyombo,C,26,CHO,17000000,54,32,783,89,156,0.571,0,0,0,89,156,0.571,0.571,58,91,0.637,81,166,247,33,11,41,34,103,236,0.301,0.074,0.052,0.042,0.014,0.043,0,4.37,0.611,4.574
Brook Lopez,C,30,MIL,3382000,81,81,2322,355,786,0.452,187,512,0.365,168,274,0.613,0.571,112,133,0.842,33,363,396,98,51,179,82,189,1009,0.435,0.048,0.077,0.042,0.022,0.035,0.081,12.457,1.21,4.889
Channing Frye,C,35,CLE,2393887,36,6,341,43,117,0.368,32,79,0.405,11,38,0.289,0.504,11,14,0.786,4,48,52,20,6,5,13,44,129,0.378,0.032,0.015,0.059,0.018,0.038,0.094,3.583,0.556,1.444
Clint Capela,C,24,HOU,15793104,67,67,2249,474,732,0.648,0,0,0,474,732,0.648,0.648,166,261,0.636,298,550,848,96,44,102,94,168,1114,0.495,0.074,0.045,0.043,0.02,0.042,0,16.627,1.433,12.657
Cody Zeller,C,26,CHO,13528090,49,47,1243,190,345,0.551,6,22,0.273,184,323,0.57,0.559,111,141,0.787,110,223,333,102,38,41,62,164,497,0.4,0.089,0.033,0.082,0.031,0.05,0.005,10.143,2.082,6.796
Damian Jones,C,23,GSW,1544951,24,22,410,53,74,0.716,0,0,0,53,74,0.716,0.716,24,37,0.649,31,44,75,28,12,25,16,63,130,0.317,0.059,0.061,0.068,0.029,0.039,0,5.417,1.167,3.125
