player_name,Pos,Age,Tm,Salary,G,GS,MP,FG,FGA,FGp,x3P,x3PA,x3Pp,x2P,x2PA,x2Pp,eFGp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTSpm,FTpm,BLKpm,ASTpm,STLpm,TOVpm,x3Ppm,PPG,APG,RPG
Aaron Gordon,PF,23,ORL,21590909,78,78,2633,470,1046,0.449,121,347,0.349,349,699,0.499,0.507,185,253,0.731,129,445,574,289,57,56,162,172,1246,0.473,0.07,0.021,0.11,0.022,0.062,0.046,15.974,3.705,7.359
Al-Farouq Aminu,PF,28,POR,6957105,81,81,2292,257,593,0.433,96,280,0.343,161,313,0.514,0.514,150,173,0.867,112,498,610,104,68,33,72,143,760,0.332,0.065,0.014,0.045,0.03,0.031,0.042,9.383,1.284,7.531
Alex Poythress,PF,25,ATL,77250,21,1,305,40,81,0.494,9,23,0.391,31,58,0.534,0.549,18,29,0.621,29,47,76,17,4,10,13,47,107,0.351,0.059,0.033,0.056,0.013,0.043,0.03,5.095,0.81,3.619
Anthony Tolliver,PF,33,MIN,5750000,65,0,1079,99,259,0.382,81,215,0.377,18,44,0.409,0.539,47,60,0.783,15,162,177,46,17,21,36,91,326,0.302,0.044,0.019,0.043,0.016,0.033,0.075,5.015,0.708,2.723
Blake Griffin,PF,29,DET,31873932,75,75,2622,619,1341,0.462,189,522,0.362,430,819,0.525,0.532,414,550,0.753,100,465,565,402,52,28,253,199,1841,0.702,0.158,0.011,0.153,0.02,0.096,0.072,24.547,5.36,7.533
Bobby Portis,PF,23,TOT,2494346,50,28,1299,279,628,0.444,75,191,0.393,204,437,0.467,0.504,77,97,0.794,109,294,403,72,35,20,74,145,710,0.547,0.059,0.015,0.055,0.027,0.057,0.058,14.2,1.44,8.06
Caleb Swanigan,PF,21,TOT,1740000,21,0,178,18,53,0.34,1,7,0.143,17,46,0.37,0.349,6,9,0.667,17,47,64,11,6,1,18,28,43,0.242,0.034,0.006,0.062,0.034,0.101,0.006,2.048,0.524,3.048
Cheick Diallo,PF,22,NOP,1544951,64,1,896,168,271,0.62,1,4,0.25,167,267,0.625,0.622,50,67,0.746,75,257,332,33,29,33,49,113,387,0.432,0.056,0.037,0.037,0.032,0.055,0.001,6.047,0.516,5.188
Chimezie Metu,PF,21,SAS,838464,29,0,145,19,58,0.328,0,2,0,19,56,0.339,0.328,13,17,0.765,9,27,36,13,6,2,15,14,51,0.352,0.09,0.014,0.09,0.041,0.103,0,1.759,0.448,1.241
Chris Boucher,PF,26,TOR,457418,28,0,163,34,76,0.447,12,37,0.324,22,39,0.564,0.526,13,15,0.867,16,40,56,2,6,24,7,31,93,0.571,0.08,0.147,0.012,0.037,0.043,0.074,3.321,0.071,2
Christian Wood,PF,23,TOT,1512601,21,2,251,61,117,0.521,9,26,0.346,52,91,0.571,0.56,41,56,0.732,17,66,83,8,7,10,17,17,172,0.685,0.163,0.04,0.032,0.028,0.068,0.036,8.19,0.381,3.952
Dante Cunningham,PF,31,SAS,2487000,64,21,928,75,158,0.475,30,65,0.462,45,93,0.484,0.57,14,18,0.778,48,140,188,50,27,13,22,71,194,0.209,0.015,0.014,0.054,0.029,0.024,0.032,3.031,0.781,2.938
DeMarre Carroll,PF,32,BRK,15400000,67,8,1703,227,575,0.395,106,310,0.342,121,265,0.457,0.487,184,242,0.76,68,281,349,85,31,10,73,114,744,0.437,0.108,0.006,0.05,0.018,0.043,0.062,11.104,1.269,5.209
