player_name,Pos,Age,Tm,Salary,G,GS,MP,FG,FGA,FGp,x3P,x3PA,x3Pp,x2P,x2PA,x2Pp,eFGp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTSpm,FTpm,BLKpm,ASTpm,STLpm,TOVpm,x3Ppm,PPG,APG,RPG
Aaron Holiday,PG,22,IND,1914480,50,0,646,105,262,0.401,43,127,0.339,62,135,0.459,0.483,41,50,0.82,5,62,67,87,21,13,40,71,294,0.455,0.063,0.02,0.135,0.033,0.062,0.067,5.88,1.74,1.34
Alex Caruso,PG,24,LAL,77250,25,4,531,77,173,0.445,24,50,0.48,53,123,0.431,0.514,51,64,0.797,20,47,67,77,24,9,42,54,229,0.431,0.096,0.017,0.145,0.045,0.079,0.045,9.16,3.08,2.68
Ben Simmons,PG,22,PHI,6434520,79,79,2700,540,960,0.563,0,6,0,540,954,0.566,0.563,257,428,0.6,172,525,697,610,112,61,274,209,1337,0.495,0.095,0.023,0.226,0.041,0.101,0,16.924,7.722,8.823
Brad Wanamaker,PG,29,BOS,838464,36,0,343,50,105,0.476,16,39,0.41,34,66,0.515,0.552,24,28,0.857,3,38,41,56,12,2,19,34,140,0.408,0.07,0.006,0.163,0.035,0.055,0.047,3.889,1.556,1.139
Brandon Knight,PG,27,TOT,14631250,39,26,736,99,260,0.381,41,129,0.318,58,131,0.443,0.46,27,34,0.794,10,49,59,71,21,2,30,62,266,0.361,0.037,0.003,0.096,0.029,0.041,0.056,6.821,1.821,1.513
Cameron Payne,PG,24,TOT,3440356,40,13,712,96,223,0.43,25,84,0.298,71,139,0.511,0.487,33,41,0.805,13,59,72,106,28,9,45,64,250,0.351,0.046,0.013,0.149,0.039,0.063,0.035,6.25,2.65,1.8
Chasson Randle,PG,25,WAS,975824,49,2,743,91,217,0.419,46,115,0.4,45,102,0.441,0.525,43,62,0.694,10,46,56,97,25,3,43,91,271,0.365,0.058,0.004,0.131,0.034,0.058,0.062,5.531,1.98,1.143
Chris Paul,PG,33,HOU,35654150,58,58,1857,302,720,0.419,127,355,0.358,175,365,0.479,0.508,175,203,0.862,36,229,265,473,114,18,152,146,906,0.488,0.094,0.01,0.255,0.061,0.082,0.068,15.621,8.155,4.569
Collin Sexton,PG,20,CLE,4073760,82,72,2605,519,1206,0.43,119,296,0.402,400,910,0.44,0.48,214,255,0.839,57,179,236,243,44,6,185,186,1371,0.526,0.082,0.002,0.093,0.017,0.071,0.046,16.72,2.963,2.878
Cory Joseph,PG,27,IND,7945000,82,9,2063,226,548,0.412,55,171,0.322,171,377,0.454,0.463,30,43,0.698,39,240,279,321,94,22,80,131,537,0.26,0.015,0.011,0.156,0.046,0.039,0.027,6.549,3.915,3.402
D'Angelo Russell,PG,22,BRK,7019698,81,81,2448,659,1517,0.434,234,635,0.369,425,882,0.482,0.512,160,205,0.78,53,262,315,563,100,20,253,141,1712,0.699,0.065,0.008,0.23,0.041,0.103,0.096,21.136,6.951,3.889
Damian Lillard,PG,28,POR,27977689,80,80,2838,681,1533,0.444,237,643,0.369,444,890,0.499,0.522,468,513,0.912,68,303,371,551,88,34,212,148,2067,0.728,0.165,0.012,0.194,0.031,0.075,0.084,25.837,6.888,4.638
Dante Exum,PG,23,UTA,10600000,42,1,664,101,241,0.419,18,62,0.29,83,179,0.464,0.456,68,86,0.791,16,52,68,110,14,5,52,69,288,0.434,0.102,0.008,0.166,0.021,0.078,0.027,6.857,2.619,1.619
Darren Collison,PG,31,IND,10000000,76,76,2143,308,659,0.467,79,194,0.407,229,465,0.492,0.527,158,190,0.832,36,196,232,459,110,9,125,138,853,0.398,0.074,0.004,0.214,0.051,0.058,0.037,11.224,6.039,3.053
De'Aaron Fox,PG,21,SAC,5470920,81,81,2546,505,1102,0.458,86,232,0.371,419,870,0.482,0.497,303,417,0.727,43,261,304,590,133,45,227,204,1399,0.549,0.119,0.018,0.232,0.052,0.089,0.034,17.272,7.284,3.753
De'Anthony Melton,PG,20,PHO,949000,50,31,984,100,256,0.391,29,95,0.305,71,161,0.441,0.447,21,28,0.75,25,109,134,159,68,23,75,113,250,0.254,0.021,0.023,0.162,0.069,0.076,0.029,5,3.18,2.68
Delon Wright,PG,26,TOT,2536898,75,13,1699,242,558,0.434,50,168,0.298,192,390,0.492,0.478,119,150,0.793,68,198,266,248,88,30,77,103,653,0.384,0.07,0.018,0.146,0.052,0.045,0.029,8.707,3.307,3.547
Dennis Smith,PG,21,TOT,3819960,53,50,1508,278,650,0.428,67,208,0.322,211,442,0.477,0.479,99,156,0.635,32,123,155,252,67,20,154,129,722,0.479,0.066,0.013,0.167,0.044,0.102,0.044,13.623,4.755,2.925
Derrick Rose,PG,30,MIN,2176260,51,13,1392,363,753,0.482,54,146,0.37,309,607,0.509,0.518,137,160,0.856,33,107,140,220,31,12,82,57,917,0.659,0.098,0.009,0.158,0.022,0.059,0.039,17.98,4.314,2.745
Derrick White,PG,24,SAS,1667160,67,55,1728,260,543,0.479,48,142,0.338,212,401,0.529,0.523,95,123,0.772,35,212,247,263,67,47,97,145,663,0.384,0.055,0.027,0.152,0.039,0.056,0.028,9.896,3.925,3.687
Devin Harris,PG,35,DAL,2393887,68,2,1071,132,347,0.38,62,200,0.31,70,147,0.476,0.47,102,134,0.761,12,100,112,122,35,16,56,133,428,0.4,0.095,0.015,0.114,0.033,0.052,0.058,6.294,1.794,1.647
Edmond Sumner,PG,23,IND,449794,23,2,210,22,64,0.344,7,27,0.259,15,37,0.405,0.398,15,24,0.625,9,15,24,10,12,5,10,26,66,0.314,0.071,0.024,0.048,0.057,0.048,0.033,2.87,0.435,1.043
Elfrid Payton,PG,24,NOP,3000000,42,42,1250,179,412,0.434,33,105,0.314,146,307,0.476,0.475,55,74,0.743,49,171,220,320,44,17,112,81,446,0.357,0.044,0.014,0.256,0.035,0.09,0.026,10.619,7.619,5.238
