player_name,Pos,Age,Tm,Salary,G,GS,MP,FG,FGA,FGp,x3P,x3PA,x3Pp,x2P,x2PA,x2Pp,eFGp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTSpm,FTpm,BLKpm,ASTpm,STLpm,TOVpm,x3Ppm,PPG,APG,RPG
Abdel Nader,SF,25,OKC,1378242,61,1,694,91,215,0.423,32,100,0.32,59,115,0.513,0.498,27,36,0.75,14,102,116,20,20,12,26,68,241,0.347,0.039,0.017,0.029,0.029,0.037,0.046,3.951,0.328,1.902
Alfonzo McKinnie,SF,26,GSW,1349383,72,5,1003,134,275,0.487,42,118,0.356,92,157,0.586,0.564,27,48,0.563,81,166,247,31,18,15,30,134,337,0.336,0.027,0.015,0.031,0.018,0.03,0.042,4.681,0.431,3.431
Andre Iguodala,SF,35,GSW,16000000,68,13,1578,151,302,0.5,48,144,0.333,103,158,0.652,0.579,39,67,0.582,48,204,252,216,61,51,52,95,389,0.247,0.025,0.032,0.137,0.039,0.033,0.03,5.721,3.176,3.706
Andrew Wiggins,SF,23,MIN,25467250,73,73,2543,498,1209,0.412,118,348,0.339,380,861,0.441,0.461,207,296,0.699,83,269,352,184,70,48,138,153,1321,0.519,0.081,0.019,0.072,0.028,0.054,0.046,18.096,2.521,4.822
Brandon Ingram,SF,21,LAL,5757120,52,52,1760,362,729,0.497,31,94,0.33,331,635,0.521,0.518,195,289,0.675,41,226,267,154,28,31,129,149,950,0.54,0.111,0.018,0.088,0.016,0.073,0.018,18.269,2.962,5.135
Bruno Caboclo,SF,23,MEM,705361,34,19,800,96,225,0.427,48,130,0.369,48,95,0.505,0.533,42,50,0.84,42,116,158,50,14,33,38,81,282,0.352,0.052,0.041,0.062,0.018,0.048,0.06,8.294,1.471,4.647
Caris LeVert,SF,24,BRK,1702800,40,25,1063,207,483,0.429,48,154,0.312,159,329,0.483,0.478,85,123,0.691,35,116,151,156,42,14,69,77,547,0.515,0.08,0.013,0.147,0.04,0.065,0.045,13.675,3.9,3.775
Cedi Osman,SF,23,CLE,2775000,76,75,2444,360,844,0.427,130,374,0.348,230,470,0.489,0.504,141,181,0.779,45,312,357,195,60,11,114,195,991,0.405,0.058,0.005,0.08,0.025,0.047,0.053,13.039,2.566,4.697
Chandler Hutchison,SF,22,CHI,1991520,44,14,895,96,209,0.459,14,50,0.28,82,159,0.516,0.493,23,38,0.605,31,154,185,34,23,6,25,59,229,0.256,0.026,0.007,0.038,0.026,0.028,0.016,5.205,0.773,4.205
Chandler Parsons,SF,30,MEM,24107258,25,3,496,68,182,0.374,29,94,0.309,39,88,0.443,0.453,22,25,0.88,4,66,70,43,19,5,32,45,187,0.377,0.044,0.01,0.087,0.038,0.065,0.058,7.48,1.72,2.8
Corey Brewer,SF,32,TOT,2559925,31,3,492,53,123,0.431,14,44,0.318,39,79,0.494,0.488,31,43,0.721,26,50,76,39,32,7,19,63,151,0.307,0.063,0.014,0.079,0.065,0.039,0.028,4.871,1.258,2.452
Danilo Gallinari,SF,30,LAC,21587579,68,68,2059,409,884,0.463,161,372,0.433,248,512,0.484,0.554,367,406,0.904,54,363,417,178,49,23,99,129,1346,0.654,0.178,0.011,0.086,0.024,0.048,0.078,19.794,2.618,6.132
Danuel House,SF,25,HOU,247827,39,13,979,118,252,0.468,74,178,0.416,44,74,0.595,0.615,56,71,0.789,25,115,140,40,21,11,35,80,366,0.374,0.057,0.011,0.041,0.021,0.036,0.076,9.385,1.026,3.59
Darius Miller,SF,28,NOP,2205000,69,15,1757,189,484,0.39,133,364,0.365,56,120,0.467,0.528,56,71,0.789,14,114,128,146,40,23,59,165,567,0.323,0.032,0.013,0.083,0.023,0.034,0.076,8.217,2.116,1.855
Derrick Jones,SF,21,MIA,1512601,60,14,1153,160,324,0.494,28,91,0.308,132,233,0.567,0.537,74,122,0.607,96,144,240,37,46,42,43,123,422,0.366,0.064,0.036,0.032,0.04,0.037,0.024,7.033,0.617,4
Dorian Finney-Smith,SF,25,DAL,1544951,81,26,1985,228,528,0.432,79,254,0.311,149,274,0.544,0.507,73,103,0.709,138,251,389,95,69,36,74,186,608,0.306,0.037,0.018,0.048,0.035,0.037,0.04,7.506,1.173,4.802
Doug McDermott,SF,27,IND,7333334,77,1,1340,207,422,0.491,84,206,0.408,123,216,0.569,0.59,66,79,0.835,17,92,109,67,18,8,42,104,564,0.421,0.049,0.006,0.05,0.013,0.031,0.063,7.325,0.87,1.416
Glenn Robinson,SF,25,DET,4075000,47,18,610,74,176,0.42,18,62,0.29,56,114,0.491,0.472,32,40,0.8,17,54,71,21,14,8,18,45,198,0.325,0.052,0.013,0.034,0.023,0.03,0.03,4.213,0.447,1.511
Jae Crowder,SF,28,UTA,7305825,80,11,2166,318,797,0.399,173,522,0.331,145,275,0.527,0.508,142,197,0.721,60,324,384,133,64,31,85,170,951,0.439,0.066,0.014,0.061,0.03,0.039,0.08,11.887,1.663,4.8
Jake Layman,SF,24,POR,1544951,71,33,1327,216,424,0.509,59,181,0.326,157,243,0.646,0.579,50,71,0.704,56,161,217,53,31,30,46,116,541,0.408,0.038,0.023,0.04,0.023,0.035,0.044,7.62,0.746,3.056
James Ennis,SF,28,TOT,1621415,58,27,1230,138,294,0.469,55,156,0.353,83,138,0.601,0.563,58,81,0.716,60,122,182,41,41,23,34,150,389,0.316,0.047,0.019,0.033,0.033,0.028,0.045,6.707,0.707,3.138
Jaron Blossomgame,SF,25,CLE,77250,27,4,439,47,106,0.443,10,39,0.256,37,67,0.552,0.491,10,13,0.769,26,72,98,13,7,8,11,20,114,0.26,0.023,0.018,0.03,0.016,0.025,0.023,4.222,0.481,3.63
