player_name,Pos,Age,Tm,Salary,G,GS,MP,FG,FGA,FGp,x3P,x3PA,x3Pp,x2P,x2PA,x2Pp,eFGp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTSpm,FTpm,BLKpm,ASTpm,STLpm,TOVpm,x3Ppm,PPG,APG,RPG
Alec Burks,SG,27,TOT,11536515,64,24,1375,192,474,0.405,61,168,0.363,131,306,0.428,0.469,116,141,0.823,30,205,235,128,39,21,65,91,561,0.408,0.084,0.015,0.093,0.028,0.047,0.044,8.766,2,3.672
Alex Abrines,SG,25,OKC,3667645,31,2,588,56,157,0.357,41,127,0.323,15,30,0.5,0.487,12,13,0.923,5,43,48,20,17,6,14,53,165,0.281,0.02,0.01,0.034,0.029,0.024,0.07,5.323,0.645,1.548
Allen Crabbe,SG,26,BRK,19332500,43,20,1133,137,373,0.367,98,259,0.378,39,114,0.342,0.499,41,56,0.732,16,132,148,46,23,13,46,102,413,0.365,0.036,0.011,0.041,0.02,0.041,0.086,9.605,1.07,3.442
Allonzo Trier,SG,23,NYK,3382000,64,3,1459,232,518,0.448,52,132,0.394,180,386,0.466,0.498,179,223,0.803,31,166,197,119,28,14,116,117,695,0.476,0.123,0.01,0.082,0.019,0.08,0.036,10.859,1.859,3.078
Anfernee Simons,SG,19,POR,1837800,20,1,141,28,63,0.444,10,29,0.345,18,34,0.529,0.524,9,16,0.563,3,10,13,13,1,0,11,9,75,0.532,0.064,0,0.092,0.007,0.078,0.071,3.75,0.65,0.65
Antonio Blakeney,SG,22,CHI,1349383,57,3,829,166,396,0.419,36,91,0.396,130,305,0.426,0.465,50,76,0.658,7,99,106,42,12,9,35,41,418,0.504,0.06,0.011,0.051,0.014,0.042,0.043,7.333,0.737,1.86
Austin Rivers,SG,26,TOT,13155324,76,15,2028,232,572,0.406,104,327,0.318,128,245,0.522,0.497,50,95,0.526,25,137,162,167,47,23,68,207,618,0.305,0.025,0.011,0.082,0.023,0.034,0.051,8.132,2.197,2.132
Avery Bradley,SG,28,TOT,12000000,63,63,1905,248,608,0.408,86,245,0.351,162,363,0.446,0.479,43,50,0.86,43,132,175,152,41,16,89,167,625,0.328,0.023,0.008,0.08,0.022,0.047,0.045,9.921,2.413,2.778
Bradley Beal,SG,25,WAS,25434262,82,82,3028,764,1609,0.475,209,596,0.351,555,1013,0.548,0.54,362,448,0.808,89,322,411,448,121,58,224,226,2099,0.693,0.12,0.019,0.148,0.04,0.074,0.069,25.598,5.463,5.012
Bruce Brown,SG,22,DET,838464,74,56,1449,125,314,0.398,24,93,0.258,101,221,0.457,0.436,45,60,0.75,48,137,185,91,40,36,46,178,319,0.22,0.031,0.025,0.063,0.028,0.032,0.017,4.311,1.23,2.5
